저축은행명,지역,총자산(억원),기업 대출금(억원),가계 담보 대출금(억원),가계 신용대출(억원),기타 대출(억원),당기순이익(억원),자기자본비율(BIS비율_퍼센트),연체율(퍼센트),고정이하여신비율(퍼센트),점포수(개)
SBI,서울,131316,40763,4210,60809,2148,1131,19.4,4.3,6.1,19
OK,서울,121540,43838,4241,45072,4797,1688,16.4,5.8,8.4,14
한국투자,경기,75055,39202,7457,14639,3668,16,17.1,8.6,11.6,11
웰컴,서울,60900,17483,13695,6315,5588,63,14.9,6.5,13.7,8
애큐온,서울,50178,19213,354,18977,7129,-59,12.4,4.5,6,4
다올,서울,44158,10486,265,19952,1868,42,12.4,4.6,5.2,3
DB,서울,31301,16944,964,3160,3785,236,12,2.4,3.1,4
신한,서울,29680,4965,11383,8308,666,344,19.9,5.1,6.2,4
하나,서울,26728,10020,8395,3859,542,-155,14.6,6.9,10.6,3
JT친애,서울,26467,8377,662,11813,836,103,11.1,3.6,6.2,8
예가람,서울,24129,5765,2922,6325,662,66,16.8,4.9,6.3,4
페퍼,경기,22565,8100,618,9285,269,-555,11.8,6.1,10.6,5
대신,서울,22365,15837,759,803,723,194,14.7,4.3,5.8,5
KB,서울,22022,4609,8287,6643,196,-64,15.1,6.5,8.7,3
JT,경기,21884,7694,75,8983,1203,160,11.4,5.3,7.1,2
OSB,서울,21245,10184,1123,2496,1494,63,12.9,6.6,10,9
모아,인천,20911,10756,807,2248,2793,157,20.1,5.8,7.6,6
우리금융,충북,20759,6680,7850,1468,1009,97,16.7,4.6,6.9,3
고려,부산,20591,4363,1239,7781,1073,67,11.7,4.8,5.5,3
NH,서울,20558,9184,4696,3101,1650,-978,11.5,8,13.6,2
상상인,경기,20069,9721,2606,509,823,107,12.6,16.9,22.5,3
바로,서울,19499,9888,4164,0,567,149,13.7,4.9,7.6,1
키움,경기,19028,6787,2919,4866,904,34,16.6,6.9,9.8,4
BNK,부산,18321,6898,6210,2625,577,67,15.4,6.6,8.7,6
키움예스,서울,16782,4717,2696,1985,2268,-67,18.2,6,7.4,2
푸른,서울,15590,10408,41,1,356,211,22,6,9.7,5
IBK,부산,15235,5111,5895,1753,145,-504,17,6.5,9.8,2
한화,경기,13423,5738,303,3189,1679,50,15.6,7.3,7.5,2
HB,서울,12685,5343,16,4364,1133,35,12.3,5.7,6.3,1
상상인플러스,충남,12600,6837,695,515,694,-85,8.2,16.5,20.8,2
스마트,광주,12157,3816,3496,1729,1099,127,13,7.1,9.4,4
더케이,서울,9801,5519,149,15,1035,36,12.7,2.6,3.2,1
참,대구,8067,2116,242,114,2889,-122,12,6.2,8.3,1
유안타,서울,7377,3428,530,0,1252,46,26.7,2.4,4.8,2
세람,경기,7180,2237,1022,1307,858,83,14.7,3.7,5.7,2
조은,서울,6812,4912,248,1,585,99,12.3,5,5.9,2
진주,경남,6720,3888,1464,37,101,61,13.3,4.4,5.6,5
금화,인천,6632,3635,567,0,1204,6,19.1,7,8.9,1
동원제일,부산,6211,2686,938,147,229,62,15.7,6.5,9.6,2
안양,경기,5695,3766,171,0,464,73,18.5,3.7,3.7,2
남양,경기,5563,1933,38,1,1601,163,41.2,1.5,3.3,2
흥국,부산,5497,3312,578,0,0,57,16.9,6.8,10.8,2
인성,인천,5410,2761,280,3,1157,24,19.5,5.7,6.8,2
스카이,서울,5402,2972,16,0,736,7,20,12.7,19.1,1
인천,인천,5320,2780,258,101,916,-66,12.4,7.5,14.9,1
대한,광주,5054,3288,62,640,94,82,18.1,5.7,8.6,1
더블,광주,4790,2622,1252,35,114,87,14.6,8.8,9.4,1
융창,경기,4659,2215,633,0,289,23,15.1,8,9,2
삼정,경기,4627,1459,37,0,1098,39,24.4,5.4,7.5,3
오투,대전,4589,2003,1222,2,159,34,13.1,7.9,9,1
청주,충북,4545,1945,578,498,495,53,15.8,5.8,6.7,2
부림,경기,4252,2382,78,12,537,38,30.2,8.5,12.8,3
엠에스,대구,4122,1773,900,441,26,55,14.1,6.9,10.3,2
CK,강원,3969,2559,572,0,61,61,15.4,8.5,8.5,3
민국,서울,3578,1572,55,6,678,-19,35.4,9.9,12.1,2
동양,광주,3546,1071,986,190,148,-104,12,12.1,9.3,1
유니온,대구,3487,1881,303,0,473,12,11.6,7.1,7.7,1
한성,충북,3449,1408,477,656,34,4,21.4,7,6.8,3
머스트삼일,경북,3415,1985,764,11,68,30,10.8,8.9,7.9,1
드림,대구,3302,1622,343,1,549,1,26.8,9.1,9.5,1
우리,부산,3270,1297,462,2,458,26,14.3,4.9,6.7,2
대백,대구,2718,1286,739,0,126,23,13.9,8.5,9.4,1
DH,부산,2681,1565,172,40,0,36,12.7,5,7.7,1
조흥,경남,2666,1859,113,7,0,-49,11.7,13.4,16.2,2
삼호,전북,2662,793,235,675,86,28,29.4,7.8,12,6
안국,경기,2558,915,96,4,384,40,16.9,8.6,13.1,1
아산,충남,2331,1123,119,0,553,0,18.5,6.4,9.3,1
영진,경기,2319,1238,34,0,466,4,12.5,8.1,13.1,1
대명,충북,2266,900,782,3,28,-13,15.2,7.6,10.8,2
국제,부산,2146,1209,175,0,293,33,26.3,8.7,11.5,1
평택,경기,1739,843,38,1,494,3,27.2,10.7,15.8,1
솔브레인,부산,1646,1075,88,4,0,63,18.1,4.2,16.4,1
에스앤티,경남,1631,448,26,0,752,45,24.9,8.5,13,1
스타,전북,1494,492,139,55,268,22,42.6,5,6.6,1
라온,경북,1445,817,79,2,79,-60,11.5,10.4,12.2,2
센트럴,광주,1295,518,179,0,120,18,34.8,5.5,8.9,1
오성,경북,1223,461,122,4,254,31,21.1,4.6,4.7,1
대아,경북,88,0,11,1,0,-18,14.4,0.5,21.8,1
